stdno,name,gender,country,curriculum,scholarship,college,earned,classif,yearlevel,allowed,grp,npriority,nalternates,ncurrent
4230-94964,Gavin Howard,M,1,BSAECO-2002,0,CEM,142,4,4,18,2,1,0,0,
2943-74823,Nathan Sutherland,F,1,BSAC-2002,0,CA-CAS,192,4,5,19,2,1,0,0,
8684-34004,Gordon Clarkson,M,1,BSEE-2002,0,CEAT,184,4,5,19,2,4,0,0,
0158-45360,Amy Allan,F,1,BSABM-2002,0,CEM,140,4,4,15,2,1,0,0,
3262-77169,Stephanie Russell,M,1,BSIE-2008,0,CEAT,185,4,5,16,2,2,0,0,
4289-40907,Hannah Skinner,M,1,BSFT-2003,0,CA,146,4,4,17,2,1,0,0,
8551-66261,Audrey Abraham,F,1,BSHE-HSP-TH-2002,0,CHE,142,4,4,10,2,4,0,0,
2584-82139,Sarah Young,F,1,BSCS-2002-SP-PR,0,CAS,142,4,4,17,2,1,0,0,
0951-05080,Sean Hemmings,F,1,BSIE-2008-PR,0,CEAT,188,4,5,16,2,1,0,0,
7259-66509,Connor Thomson,M,1,BSECO-2005,0,CEM,131,4,4,16,2,6,0,0,
2663-34756,Kylie Avery,M,1,BSEE-2010,0,CEAT,184,4,5,19,2,1,0,0,
8235-71385,Kimberly Bower,F,1,BSAE-2006,0,CEAT,188,4,5,19,2,2,0,0,
2651-42007,Stephanie Russell,F,1,BSDC-2002-EDCOM,0,CDC,134,4,4,19,2,4,0,0,
8721-52567,Andrea Manning,M,1,BSAECO-2002,0,CEM,132,4,4,18,2,5,0,0,
7230-77216,Olivia Paterson,F,1,BSCHE-2006-ST,0,CEAT,188,4,5,10,2,2,0,0,
4153-02346,Jacob Nolan,F,1,BSDC-2002-EDCOM,0,CDC,133,4,4,19,2,5,0,0,
9454-10863,Penelope Black,M,1,BSCHE-2006-ST,0,CEAT,175,4,5,20,2,6,0,0,
5678-30780,Neil Marshall,M,1,BSAE-2006,0,CEAT,188,4,5,19,2,2,0,0,
8514-85476,Jack Dowd,M,1,BSCS-2002-SP-PR,0,CAS,139,4,4,17,2,1,0,0,
5816-34021,Donna Hudson,M,1,BSIE-2008-PR,0,CEAT,182,4,5,16,2,1,0,0,
6293-59551,Victoria Poole,F,1,BSCHE-2006-GEN,0,CEAT,192,4,5,16,2,1,0,0,
6596-96366,Wendy Wilkins,M,1,BSDC-2002-SCICOM,0,CDC,136,4,4,19,2,4,0,0,
0846-12238,Kimberly Hart,M,1,BSCE-2008,0,CEAT,187,4,5,19,2,1,0,0,
2475-62774,Max Nash,F,1,BSCS-2002-SP-PR,0,CAS,139,4,4,17,2,3,0,0,
2210-10379,Mary Anderson,M,1,BSDC-2002-SCICOM,0,CDC,136,4,4,19,2,4,0,0,
7167-38654,Gordon Gibson,M,1,BSEE-2010,0,CEAT,186,4,5,19,2,2,0,0,
0091-81890,Eric Brown,M,1,BSEE-2010,0,CEAT,184,4,5,19,2,1,0,0,
9793-56468,Faith Gray,F,1,BSAECO-2002,0,CEM,136,4,4,18,2,3,0,0,
5137-54938,Cameron Greene,M,1,BSEE-2010,0,CEAT,172,4,5,19,2,5,0,0,
0276-71031,Pippa Dyer,M,1,BSEE-2010,0,CEAT,181,4,5,19,2,3,0,0,
3174-67249,Rebecca Manning,M,1,BSCHE-2006-ST,0,CEAT,189,4,5,10,2,1,0,0,
5696-82845,Hannah Campbell,F,1,BACA-2002-WR-TH,0,CAS,144,4,4,18,2,1,0,0,
4256-63970,Sally Forsyth,M,1,BSEE-2010,0,CEAT,187,4,5,19,2,2,0,0,
4381-12162,Andrew Churchill,M,1,BSCS-2002-SP-PR,0,CAS,133,4,4,17,2,2,0,0,
5849-57020,Christian Lyman,M,1,BSEE-2002,0,CEAT,184,4,5,19,2,1,0,0,
7470-21831,Alexander Wilson,F,1,BSDC-2002-EDCOM,0,CDC,139,4,4,19,2,2,0,0,
0833-40308,Jason Parr,F,1,BSDC-2002-EDCOM,0,CDC,130,4,4,19,2,7,0,0,
9670-27207,Blake Chapman,F,1,BSAECO-2002,0,CEM,133,4,4,18,2,4,0,0,
4271-86516,Molly Rees,F,1,BSIE-2008-PR,0,CEAT,185,4,5,16,2,1,0,0,
7001-08710,Dan Clark,F,1,BASOC-2002-SC,0,CAS,135,4,4,18,2,3,0,0,
7500-48662,Virginia Ince,F,1,BSAP-2002,0,CAS,150,4,4,16,2,1,0,0,
0912-69071,John Mitchell,F,1,BSCHE-2006-ST,0,CEAT,192,4,5,10,2,1,0,0,
4208-30448,Joe Lewis,F,1,BSCHEM-2002,0,CAS,158,4,4,19,2,1,0,0,
2010-76173,John Walsh,F,1,BSABE-2011,0,CEAT,191,4,5,19,2,1,0,0,
7829-73361,Kevin Knox,F,1,BSCHEM-2002,0,CAS,154,4,4,19,2,2,0,0,
3315-54444,Gavin Howard,M,1,BSCHE-2006-GEN,0,CEAT,189,4,5,16,2,2,0,0,
9268-18960,Phil Russell,F,1,BSFT-2003,0,CA,140,4,4,20,2,2,0,0,
0290-29259,Emma Carr,M,1,BSIE-2008-PR,0,CEAT,182,4,5,16,2,2,0,0,
8988-96032,Richard Campbell,F,1,BSCS-2008-SP-PR,0,CAS,141,4,4,17,2,1,0,0,
1657-59051,Lisa Quinn,M,1,DVM-2002,0,CVM,232,4,6,17,2,2,0,0,
7286-93020,Tim Gray,M,1,BSEE-2010,0,CEAT,185,4,5,19,2,1,0,0,
5205-13039,Austin Glover,F,1,BSCS-2008-SP-PR,0,CAS,142,4,4,17,2,1,0,0,
7904-51731,Christopher Hunter,F,1,BSAECO-2002,0,CEM,145,4,4,18,2,1,0,0,
5254-14701,Joshua Metcalfe,F,1,BSDC-2008,0,CDC,144,4,4,19,2,3,0,0,
1601-00565,Piers Tucker,M,1,BSSTAT-2008,0,CAS,150,4,4,18,2,1,0,0,
9808-74162,Sonia Brown,M,1,BSCS-2008-SP-PR,0,CAS,129,4,4,17,2,3,0,0,
0027-24065,Emma Carr,F,1,BSAM-2002-ORO,0,CAS,140,4,4,16,2,1,0,0,
0263-11977,Lillian Churchill,F,1,BSDC-2008,0,CDC,144,4,4,19,2,3,0,0,
5176-24304,Fiona Lee,F,1,BSCHE-2006-PPT,0,CEAT,191,4,5,13,2,2,0,0,
1563-73681,Virginia Sutherland,F,1,BSCS-2008-SP-PR,0,CAS,139,4,4,17,2,1,0,0,
5824-94845,Theresa Fraser,F,1,BSCS-2008-SP-PR,0,CAS,142,4,4,17,2,1,0,0,
7010-24966,Carol Lambert,M,1,BSEE-2010,0,CEAT,181,4,5,19,2,1,0,0,
8796-52669,Jasmine Campbell,F,1,BACA-2002-WR-PR,0,CAS,141,4,4,18,2,1,0,0,
6073-24848,Christian Morrison,M,1,BSEE-2010,0,CEAT,175,4,5,21,2,4,0,0,
1303-35928,Lily Jones,F,1,BSSTAT-2008,0,CAS,141,4,4,18,2,4,0,0,
4506-17376,Matt May,M,1,BSEE-2010,0,CEAT,185,4,5,19,2,1,0,0,
2549-76630,Hannah Powell,M,1,BSIE-2008,0,CEAT,182,4,5,16,2,1,0,0,
4886-34009,Virginia Ince,F,1,BSCHE-2006-PPT-TH,0,CEAT,185,4,5,13,2,3,0,0,
8665-32979,Connor Thomson,F,1,BSAECO-2002,0,CEM,139,4,4,18,2,2,0,0,
1163-76930,Julia Langdon,F,1,BSCHEM-2002,0,CAS,160,4,4,19,2,1,0,0,
3621-68801,Jan Welch,F,1,BSFT-2003-PR,0,CA,154,4,4,17,2,1,0,0,
6511-50119,Sally Rees,M,1,BSAECO-2002,0,CEM,142,4,4,18,2,1,0,0,
2928-81574,Natalie Rutherford,M,1,BSCS-2008-SP-PR,0,CAS,142,4,4,17,2,1,0,0,
5029-60261,Jessica Johnston,M,1,BSF-2007-PR,0,CFNR,148,4,4,18,2,3,0,0,
6317-36606,Lily Jones,F,1,BSCHE-2006-ST,0,CEAT,192,4,5,10,2,2,0,0,
8011-25431,Sophie Morgan,F,1,BSAECO-2002,0,CEM,137,4,4,18,2,3,0,0,
3650-15512,Paul Mackay,M,1,BSCHE-2006-ST-PR,0,CEAT,187,4,5,10,2,3,0,0,
9969-94676,Hannah Campbell,F,1,BSDC-2008,0,CDC,147,4,4,19,2,2,0,0,
9397-08676,Michelle Short,F,1,BSCHE-2006-GEN,0,CEAT,189,4,5,16,2,3,0,0,
7048-90778,Blake Fraser,M,1,BSABM-2011,0,CEM,131,4,4,15,2,5,0,0,
6166-43720,Sebastian Dyer,M,1,BSEE-2010,0,CEAT,184,4,5,19,2,1,0,0,
9490-66437,Adam Marshall,F,1,BSAECO-2002,0,CEM,139,4,4,18,2,2,0,0,
3308-26360,Rebecca Manning,F,1,BSAECO-2002,0,CEM,136,4,4,18,2,3,0,0,
6143-63374,Lauren Davies,F,1,BSABM-2002,0,CEM,143,4,4,15,2,1,0,0,
5162-57031,Amy Allan,F,1,BSEE-2010,0,CEAT,181,4,5,19,2,3,0,0,
2826-24354,Robert Morgan,M,1,BSCHE-2006-GEN,0,CEAT,189,4,5,16,2,1,0,0,
7623-94612,Elizabeth Vaughan,F,1,BASOC-2002-PR,0,CAS,135,4,4,18,2,1,0,0,
6234-38086,Justin McLean,M,1,BSCHE-2006-PPT,0,CEAT,181,4,5,20,2,5,0,0,
8100-12685,Jan Wilson,M,1,BSFT-2003,0,CA,150,4,4,17,2,1,0,0,
1046-74328,Brandon Slater,M,1,BSCS-2008-SP-PR,0,CAS,142,4,4,17,2,1,0,0,
3904-42982,Rose Ross,M,1,BSDC-2008,0,CDC,145,4,4,19,2,2,0,0,
1772-06721,Kevin Knox,M,1,BSECO-2005,0,CEM,134,4,4,16,2,4,0,0,
5077-03670,Dominic Allan,M,1,BSIE-2008-PR,0,CEAT,188,4,5,16,2,1,0,0,
6727-35446,Carolyn Davidson,F,1,BSSTAT-2008,0,CAS,147,4,4,18,2,3,0,0,
1311-80453,William Lambert,M,1,BSDC-2008,0,CDC,145,4,4,19,2,1,0,0,
2347-89423,Sophie McGrath,M,1,BSEE-2010,0,CEAT,184,4,5,19,2,1,0,0,
6559-75382,Lisa Skinner,M,1,BSDC-2008,0,CDC,144,4,4,19,2,2,0,0,
6346-86552,Brandon Slater,M,1,BSEE-2010,0,CEAT,185,4,5,19,2,1,0,0,
8199-44803,Dominic Sharp,F,1,BSAM-2002-ORO,0,CAS,139,4,4,16,2,1,0,0,
9985-80832,Christian Morrison,F,1,BSDC-2008,0,CDC,144,4,4,19,2,3,0,0,
8083-60326,Joan Morgan,F,1,BACA-2002-SPCM-PR,0,CAS,137,4,4,18,2,3,0,0,
0105-84381,Elizabeth Mitchell,M,1,BSCS-2008-SP-PR,0,CAS,142,4,4,17,2,1,0,0,
1155-74083,Joe Lewis,F,1,BACA-2002-TA-PR,0,CAS,129,4,4,18,2,3,0,0,
4068-88666,Jacob Nolan,M,1,BSCHE-2006-GEN,0,CEAT,189,4,5,16,2,2,0,0,
9258-04507,Yvonne McGrath,F,1,BSEE-2010,0,CEAT,178,4,5,19,2,2,0,0,
3475-38748,Harry Berry,F,1,BSAECO-2002,0,CEM,142,4,4,18,2,2,0,0,
5048-78957,Anne Arnold,F,1,BSCHE-2006-ST,0,CEAT,192,4,5,10,2,1,0,0,
0293-25742,Lily Jones,M,1,BACA-2002-WR-TH,0,CAS,135,4,4,18,2,2,0,0,
2582-61281,Sonia Berry,M,1,BSCS-2008-SP-PR,0,CAS,132,4,4,17,2,4,0,0,
3802-65487,Max Mathis,F,1,BSAC-2002,0,CA-CAS,194,4,5,19,2,1,0,0,
8866-50046,William Forsyth,F,1,BSCHE-2006-GEN,0,CEAT,189,4,5,16,2,1,0,0,
1373-03290,Ava Dickens,F,1,BSCHE-2006-ST,0,CEAT,189,4,5,10,2,1,0,0,
5907-19904,Thomas Randall,M,1,BSDC-2008,0,CDC,138,4,4,19,2,4,0,0,
9726-64565,Sarah Young,F,1,BSAECO-2002,0,CEM,127,4,4,19,2,7,0,0,
6257-90979,Sean Hemmings,M,1,BSAECO-2002,0,CEM,140,4,4,18,2,1,0,0,
1796-98420,Dominic James,M,1,BSDC-2008,0,CDC,144,4,4,19,2,3,0,0,
7479-82951,Carol Hughes,F,1,BSAECO-2002,0,CEM,140,4,4,18,2,1,0,0,
8721-73565,Andrew Berry,M,1,BSAECO-2002,0,CEM,136,4,4,18,2,3,0,0,
2272-11208,Caroline Davidson,F,1,BSDC-2008,0,CDC,148,4,4,19,2,1,0,0,
6663-85885,Bernadette Cornish,M,1,BSEE-2010,0,CEAT,184,4,5,19,2,2,0,0,
4934-83707,Carl Vance,F,1,BSSTAT-2008,0,CAS,147,4,4,18,2,1,0,0,
4589-75734,Lisa Chapman,F,1,BSSTAT-2008,0,CAS,149,4,4,18,2,1,0,0,
0379-76995,Dorothy Burgess,M,1,BSEE-2010,0,CEAT,181,4,5,19,2,2,0,0,
6646-20739,Fiona Wallace,F,1,BSAECO-2002,0,CEM,142,4,4,18,2,2,0,0,
6631-62344,Lily Chapman,F,1,BSAP-2002,0,CAS,138,4,4,16,2,7,0,0,
9768-12683,Joe Mackay,F,1,BACA-2002-SPCM-PR,0,CAS,141,4,4,18,2,1,0,0,
4041-92950,Jan Welch,M,1,BSEE-2010,0,CEAT,187,4,5,19,2,1,0,0,
4469-23071,Sebastian North,F,1,BSIE-2008,0,CEAT,185,4,5,16,2,1,0,0,
5328-62998,Amanda Bower,M,1,BSCHE-2006-GEN,0,CEAT,189,4,5,16,2,1,0,0,
0560-99292,Zoe Nash,M,1,BSEE-2010,0,CEAT,184,4,5,19,2,1,0,0,
5021-99398,Brian Newman,F,1,BSEE-2010,0,CEAT,181,4,5,19,2,3,0,0,
6500-44923,Julian Marshall,F,1,BSCE-2008,0,CEAT,187,4,5,19,2,3,0,0,
8704-90522,Isaac Marshall,M,1,BASOC-2002-SC,0,CAS,135,4,4,18,2,3,0,0,
2843-54927,Jason Payne,M,1,BSCHE-2006-GEN,0,CEAT,186,4,5,16,2,2,0,0,
4103-95290,Ella Bond,M,1,BSEE-2010,0,CEAT,184,4,5,19,2,1,0,0,
9585-89326,Maria Hardacre,F,1,BACA-2002-TA-TH,0,CAS,132,4,4,15,2,3,0,0,
4503-99800,Peter Greene,M,1,BSAM-2002-ASO,0,CAS,142,4,4,16,2,1,0,0,
7472-16259,Thomas Howard,M,1,BSEE-2010,0,CEAT,184,4,5,19,2,1,0,0,
9038-83831,Virginia Slater,M,1,BSEE-2010,0,CEAT,184,4,5,19,2,1,0,0,
1650-69425,Jessica Rampling,M,1,BSCS-2008-SP-PR,0,CAS,133,4,4,17,2,3,0,0,
9272-44432,Grace Hart,F,1,BSEE-2010,0,CEAT,173,4,5,19,2,4,0,0,
8512-23247,Grace Davies,F,1,BSIE-2008,0,CEAT,179,4,5,16,2,4,0,0,
6365-94160,John Bell,M,1,BSCE-2008,0,CEAT,184,4,5,19,2,1,0,0,
9576-06404,Anna Berry,M,1,BSABM-2002,0,CEM,142,4,4,15,2,2,0,0,
3758-38122,Lisa Chapman,F,1,BSEE-2010,0,CEAT,187,4,5,19,2,1,0,0,
5970-03346,Dominic Sharp,M,1,BSCHE-2006-GEN,0,CEAT,192,4,5,16,2,1,0,0,
5930-41638,Evan Mackay,F,1,BSCHE-2006-GEN,0,CEAT,186,4,5,16,2,1,0,0,
2217-33764,Joan Turner,F,1,BSCHE-2006-ST,0,CEAT,195,4,5,10,2,1,0,0,
3089-30776,Harry Coleman,M,1,BSCHE-2006-ST,0,CEAT,180,4,5,20,2,4,0,0,
4916-85985,Julia Payne,F,1,BSAECO-2002,0,CEM,139,4,4,18,2,2,0,0,
7234-77075,Kevin Cameron,F,1,BSIE-2008-PR,0,CEAT,185,4,5,16,2,1,0,0,
9518-18395,Pippa North,F,1,BSIE-2008-PR,0,CEAT,185,4,5,16,2,1,0,0,
6873-82724,Andrew Churchill,M,1,BSF-2007,0,CFNR,151,4,4,18,2,1,0,0,
3625-86268,Joan Morgan,F,1,BSAECO-2002,0,CEM,142,4,4,18,2,2,0,0,
5008-77510,Christian Lyman,F,1,BSAM-2002-ASO,0,CAS,127,4,4,18,2,5,0,0,
1703-60758,Charles Bond,F,1,BSCHE-2006-GEN,0,CEAT,192,4,5,16,2,1,0,0,
6554-08370,Blake Chapman,M,1,BSCHE-2006-GEN,0,CEAT,192,4,5,16,2,1,0,0,
0180-64003,Julia Langdon,M,1,BSCHE-2006-ST,0,CEAT,175,4,5,20,2,8,0,0,
2476-75811,Carl Vance,F,1,BSAECO-2002,0,CEM,136,4,4,18,2,3,0,0,
2326-73949,Irene Wright,M,1,BSEE-2010,0,CEAT,184,4,5,19,2,1,0,0,
9966-35357,Paul Hill,M,1,BSEE-2010,0,CEAT,187,4,5,19,2,1,0,0,
0868-51696,Virginia Ince,F,1,BSECO-2005,0,CEM,135,4,4,16,2,2,0,0,
8964-06527,Brandon Powell,F,1,BSFT-2003,0,CA,151,4,4,17,2,1,0,0,
9921-95307,Olivia Peters,F,1,BSDC-2008,0,CDC,142,4,4,19,2,2,0,0,
4264-61115,Simon McGrath,M,1,BSCHE-2006-PPT,0,CEAT,188,4,5,13,2,2,0,0,
3357-72881,Carol Springer,F,1,BSAECO-2002,0,CEM,145,4,4,18,2,1,0,0,
9407-93925,Angela Vance,F,1,BSF-2007,0,CFNR,148,4,4,18,2,2,0,0,
4331-02207,Wanda Hodges,M,1,BSEE-2010,0,CEAT,181,4,5,19,2,2,0,0,
8173-69570,Yvonne Dickens,M,1,BSEE-2010,0,CEAT,184,4,5,19,2,1,0,0,
4086-39411,Dominic Sharp,F,1,BACA-2002-SPCM-PR,0,CAS,138,4,4,18,2,2,0,0,
6658-62266,Nicholas Anderson,M,1,BSDC-2008,0,CDC,141,4,4,19,2,5,0,0,
1709-43730,Justin Ince,M,1,BASOC-2002-TH,0,CAS,135,4,4,18,2,2,0,0,
9728-43039,Zoe Piper,M,1,BSEE-2010,0,CEAT,193,4,5,19,2,1,0,0,
3471-92847,Julian Ellison,M,1,BSEE-2010,0,CEAT,184,4,5,19,2,1,0,0,
5755-18583,Rachel Randall,F,1,BSCHE-2006-PPT,0,CEAT,191,4,5,13,2,1,0,0,
5342-44142,Thomas Randall,F,1,BSF-2007,0,CFNR,148,4,4,18,2,2,0,0,
2686-78818,Lisa Forsyth,M,1,CertFor,0,CFNR,65,4,2,15,2,2,0,0,
3968-87772,Austin White,F,1,BSAECO-2002,0,CEM,136,4,4,18,2,4,0,0,
9242-27791,Adam Churchill,M,1,BSABT-2009-PR,0,CA,149,4,4,16,2,1,0,0,
0751-51995,Sue Paterson,F,1,BAPHLO-2011,0,CAS,132,4,4,15,2,3,0,0,
4537-82362,Irene Young,F,1,BSIE-2008,0,CEAT,176,4,5,16,2,4,0,0,
2545-02539,Jan Peake,F,1,BSCHE-2006-GEN,0,CEAT,192,4,5,16,2,1,0,0,
3517-23673,Virginia Wallace,M,1,BSAECO-2002,0,CEM,141,4,4,18,2,2,0,0,
5507-82760,Jane Baker,F,1,BSCS-2008-SP-PR,0,CAS,136,4,4,17,2,2,0,0,
4687-97731,Faith Graham,F,1,BSDC-2008,0,CDC,147,4,4,19,2,2,0,0,
7526-92405,Jacob Clark,M,1,BSAECO-2002,0,CEM,136,4,4,18,2,3,0,0,
6210-51321,Amy Thomson,M,1,BACA-2002-SPCM-TH,0,CAS,141,4,4,18,2,1,0,0,
1922-89246,Lily Chapman,F,1,BSCE-2008-TH,0,CEAT,178,4,5,19,2,3,0,0,
3841-83819,Nicholas Greene,F,1,BSIE-2008-PR,0,CEAT,186,4,5,16,2,2,0,0,
7930-34712,Boris Churchill,M,1,BASOC-2002-TH,0,CAS,135,4,4,18,2,1,0,0,
9916-10118,Wendy Knox,F,1,BACA-2002-TA-PR,0,CAS,138,4,4,18,2,1,0,0,
1928-58407,Lauren Thomson,F,1,BSDC-2008,0,CDC,141,4,4,19,2,3,0,0,
4172-77248,Eric Terry,F,1,BSHE-FD-PS-PR-2002,0,CHE,155,4,4,19,2,1,0,0,
6179-17858,Elizabeth Vaughan,F,1,BACA-2002-SPCM-PR,0,CAS,132,4,4,18,2,2,0,0,
3379-12021,Stewart Arnold,F,1,BSDC-2008,0,CDC,142,4,4,19,2,2,0,0,
5823-36241,Nathan Sutherland,F,1,BSAECO-2002,0,CEM,141,4,4,18,2,2,0,0,
9036-14928,Max Scott,F,1,BSEE-2010,0,CEAT,172,4,5,19,2,7,0,0,
2370-94111,Karen McDonald,F,1,BSFT-2003-PR,0,CA,147,4,4,17,2,1,0,0,
5710-63327,Brian Newman,F,1,BSFT-2003-PR,0,CA,141,4,4,17,2,4,0,0,
7149-99045,Julia Langdon,M,1,BASOC-2002-SC,0,CAS,138,4,4,18,2,3,0,0,
0611-18649,Lillian Pullman,M,1,BSSTAT-2008,0,CAS,150,4,4,18,2,1,0,0,
6094-07233,Vanessa King,F,1,BSABT-2009-PR,0,CA,147,4,4,16,2,1,0,0,
8533-18643,Lauren Bower,M,1,BSCE-2008-TH,0,CEAT,184,4,5,19,2,1,0,0,
8913-50132,Carol Lambert,F,1,BSDC-2008,0,CDC,139,4,4,19,2,1,0,0,
9229-69687,Ella Davidson,M,1,BSCHE-2006-GEN,0,CEAT,192,4,5,16,2,1,0,0,
8345-03476,Colin Reid,M,1,BSCS-2008-SP-PR,0,CAS,139,4,4,17,2,1,0,0,
2655-10223,Dan Peters,F,1,BSDC-2008,0,CDC,145,4,4,19,2,2,0,0,
7342-94868,Jason Payne,M,1,BSFT-2003,0,CA,150,4,4,17,2,2,0,0,
7167-28848,Jennifer Duncan,F,1,BSAECO-2002,0,CEM,134,4,4,18,2,2,0,0,
4866-71557,Boris Churchill,F,1,BSFT-2003-PR,0,CA,145,4,4,17,2,2,0,0,
3338-21249,Peter Knox,M,1,BSEE-2010,0,CEAT,184,4,5,19,2,1,0,0,
0850-84706,Wendy Jones,F,1,BSAECO-2002,0,CEM,139,4,4,18,2,2,0,0,
1292-40400,Lily Jones,F,1,BSCHE-2006-GEN,0,CEAT,192,4,5,16,2,1,0,0,
7211-66973,Adam Churchill,F,1,BSABT-2009,0,CA,146,4,4,16,2,1,0,0,
9974-93352,Ava Dickens,F,1,BSDC-2008,0,CDC,138,4,4,19,2,3,0,0,
1661-60332,Liam Parsons,F,1,BSCHE-2006-GEN,0,CEAT,189,4,5,16,2,2,0,0,
8828-52433,Charles Black,M,1,BSEE-2010,0,CEAT,181,4,5,19,2,2,0,0,
1659-83528,Oliver Young,F,1,BSAECO-2002,0,CEM,145,4,4,18,2,1,0,0,
4046-16851,Adrian Mathis,M,1,BSCE-2008-TH,0,CEAT,187,4,5,19,2,1,0,0,
8044-29689,Lauren Thomson,F,1,BSCHE-2006-ST,0,CEAT,186,4,5,10,2,1,0,0,
2584-47075,Sophie McGrath,M,1,BSCE-2008-TH,0,CEAT,187,4,5,19,2,1,0,0,
0255-21594,Lisa Skinner,F,1,BSDC-2008,0,CDC,147,4,4,19,2,2,0,0,
5599-05688,Austin Lyman,F,1,BSECO-2005,0,CEM,137,4,4,16,2,3,0,0,
4448-53988,David Hunter,F,1,BSDC-2008,0,CDC,142,4,4,19,2,2,0,0,
6396-28602,Rebecca Smith,M,1,BSEE-2010,0,CEAT,181,4,5,19,2,1,0,0,
8424-99777,Sally Forsyth,F,1,BSDC-2008,0,CDC,151,4,4,19,2,1,0,0,
6294-78413,Isaac Scott,M,1,BSCHE-2006-ST-TH,0,CEAT,192,4,5,10,2,1,0,0,
8043-52340,Andrew Churchill,F,1,BSAM-2002-ORO,0,CAS,139,4,4,16,2,1,0,0,
1690-19995,Andrew Berry,F,1,BSAECO-2002,0,CEM,135,4,4,18,2,4,0,0,
3563-97123,Lucas Smith,M,1,BSABE-2011,0,CEAT,192,4,5,19,2,1,0,0,
8428-22922,Cameron Greene,F,1,BSAECO-2002,0,CEM,139,4,4,18,2,2,0,0,
7644-06090,Emily Bell,M,1,BSAM-2002-ASO,0,CAS,136,4,4,16,2,1,0,0,
8270-23984,Olivia Churchill,F,1,BSDC-2008,0,CDC,142,4,4,19,2,2,0,0,
9173-02812,Simon Lyman,F,1,BSCHE-2011-PPT-TH,0,CEAT,181,4,5,20,2,5,0,0,
5753-09018,Ella Davidson,M,1,BSMATH-2011,0,CAS,127,4,4,16,2,5,0,0,
1138-77150,Theresa Ellison,M,1,BSCS-2008-SP-PR,0,CAS,142,4,4,17,2,1,0,0,
4280-26724,John Cornish,M,1,BSABT-2009,0,CA,143,4,4,16,2,2,0,0,
4565-90129,Lucas Smith,F,1,BSABM-2002,0,CEM,143,4,4,15,2,1,0,0,
6169-87585,Jan Cameron,F,1,BSECO-2005,0,CEM,138,4,4,16,2,2,0,0,
3171-49167,Nicola Poole,F,1,BSCS-2008-SP-PR,0,CAS,139,4,4,17,2,1,0,0,
9832-23019,Irene Wright,F,1,BSCS-2008-SP-PR,0,CAS,139,4,4,17,2,1,0,0,
6810-70388,Cameron Harris,F,1,BSDC-2008,0,CDC,145,4,4,19,2,1,0,0,
9996-42161,Sue Scott,M,1,BSAM-2002-ORO,0,CAS,142,4,4,16,2,2,0,0,
2927-53381,Richard Campbell,F,1,BSCHE-2006-GEN,0,CEAT,189,4,5,16,2,1,0,0,
9194-96020,Melanie Quinn,F,1,BSCHEM-2002,0,CAS,150,4,4,19,2,2,0,0,
7736-28399,Isaac Scott,F,1,BSABM-2002,0,CEM,128,4,4,18,2,5,0,0,
3011-68917,Theresa Bower,F,1,BSAC-2002,0,CA-CAS,179,4,5,19,2,5,0,0,
2673-85077,Sophie McGrath,F,1,BSAECO-2002,0,CEM,127,4,4,18,2,5,0,0,
0602-39623,Boris Lawrence,M,1,BSCE-2011,0,CEAT,184,4,5,19,2,1,0,0,
0267-13724,Katherine Ogden,F,1,BSCE-2008-TH,0,CEAT,184,4,5,19,2,1,0,0,
