stdno,name,gender,country,curriculum,scholarship,college,earned,classif,yearlevel,allowed,grp,npriority,nalternates,ncurrent
8141-99449,Evan Hill,M,1,BSABM-2002,0,CEM,113,4,4,18,3,7,2,0,
7710-37793,Penelope Black,F,1,BSBIO-2002-WLDL-SP,0,CAS,147,4,4,19,3,1,0,0,
1044-07013,Ian Wallace,F,1,BSCHEM-2002,0,CAS,157,4,4,19,3,1,0,0,
4649-74857,Andrew Harris,M,1,BSCE-2008,0,CEAT,175,4,5,19,3,1,0,0,
2230-07533,Kylie Baker,M,1,BSAECO-2011,0,CEM,86,3,3,18,3,7,6,0,
6458-87707,Sonia Carr,M,1,BSAE-2002,0,CEAT,56,2,2,20,3,8,3,0,
6150-14501,Robert Buckland,F,1,BSCE-2002,0,CEAT,165,4,5,20,3,5,0,0,
1178-55341,Amy Allan,M,0,BSHE-FD-PS-PR-2002,0,CHE,103,3,4,21,3,5,0,0,
8718-06752,Phil Reid,M,1,DVM-2002,0,CVM,98,2,4,21,3,6,2,0,
4042-65677,Wanda Hodges,M,1,BSCE-2008,0,CEAT,165,4,5,20,3,5,0,0,
5626-42283,Alison Hodges,M,0,BSA-2002-PR,0,CA,140,4,4,19,3,4,0,0,
9942-29805,Faith Gray,M,1,BSABM-2002,0,CEM,101,3,4,18,3,5,0,0,
4483-47491,Cameron Ince,M,1,BASOC-2002-TH,0,CAS,66,2,3,18,3,5,0,0,
3121-64791,Amanda McLean,F,1,BSA-2002-PR,0,CA,123,4,4,21,3,7,0,0,
6788-49797,Karen McDonald,M,1,BSAM-2002-ASO,0,CAS,136,4,4,16,3,1,0,0,
0692-09273,Isaac Powell,F,1,BSIE-2002,0,CEAT,186,4,5,16,3,1,0,0,
6490-46835,Victoria Turner,M,1,BSEE-2002-PR,0,CEAT,111,3,4,20,3,6,0,0,
5138-76814,Dominic Allan,F,1,BSA-2002-PR,0,CA,117,3,4,21,3,8,3,0,
3405-39782,Claire Hudson,F,1,BSCE-2008,0,CEAT,158,4,5,20,3,4,0,0,
7182-82102,Lucas Smith,F,1,BSCHE-2006-GEN,0,CEAT,166,4,5,20,3,5,0,0,
5928-98330,Peter Knox,M,1,DVM-2002,0,CVM,205,4,6,21,3,3,0,0,
8615-41701,Alison Hodges,F,1,BSAE-2002,0,CEAT,123,3,4,18,3,5,0,0,
5486-42799,Adrian Mathis,M,2,BSF-2002,0,CFNR,88,3,3,19,3,6,1,0,
6257-88413,Thomas Carr,F,2,BSN-2002,0,CHE,132,4,4,21,3,3,0,0,
7454-16382,Amelia James,F,1,BSN-2002,0,CHE,125,4,4,21,3,2,0,0,
4450-15237,Peter Greene,M,1,BSEE-2002,0,CEAT,162,4,5,19,3,5,0,0,
2185-33565,Dominic Sharp,F,1,DVM-2002,0,CVM,205,4,6,21,3,5,0,0,
1730-34615,Rachel Randall,M,1,DVM-2002,0,CVM,228,4,6,17,3,4,0,0,
7818-49976,John Walsh,M,1,BSFT-2003-PR,0,CA,142,4,4,17,3,2,0,0,
7509-09174,Adam Marshall,M,1,BSAE-2006,0,CEAT,119,3,4,19,3,6,2,0,
3339-97567,John Bell,F,1,BSABM-2002,0,CEM,131,4,4,15,3,3,0,0,
0138-81130,Joshua Metcalfe,M,1,BSA-2002-PR,0,CA,118,4,4,21,3,7,1,0,
8006-08593,Oliver Ogden,M,1,BSABM-2002,0,CEM,137,4,4,15,3,2,0,0,
3821-42600,Jan Welch,M,1,BSFT-2003-PR,0,CA,145,4,4,17,3,2,0,0,
4245-34703,Gordon Harris,F,1,BSIE-2008-PR,0,CEAT,173,4,5,16,3,4,0,0,
0785-03014,Carolyn Welch,M,1,BSCE-2008,0,CEAT,184,4,5,19,3,1,0,0,
4600-23757,Kimberly Bower,F,1,BSF-2011,0,CFNR,105,3,4,18,3,6,3,0,
4409-16037,Amanda Ogden,M,1,BSAE-2006,0,CEAT,153,4,5,19,3,6,0,0,
2794-08412,Cameron Hunter,F,1,DVM-2002,0,CVM,216,4,6,21,3,1,0,0,
8103-24489,Samantha Langdon,M,1,BSCHE-2006-GEN,0,CEAT,79,2,3,20,3,9,4,0,
9356-32541,Adrian Mathis,M,1,BSAECO-2002,0,CEM,126,4,4,18,3,1,0,0,
7736-89114,Peter Knox,M,1,DVM-2002,0,CVM,200,4,6,21,3,4,0,0,
3433-10414,Sally Skinner,M,1,BSBIO-2002-ZOO-CW,0,CAS,96,3,4,19,3,7,2,0,
4420-51911,Donna Bailey,M,1,BSA-2002,0,CA,64,2,3,21,3,7,2,0,
6256-87059,Rebecca Smith,M,1,BSCHE-2006-PPT,0,CEAT,168,4,5,20,3,5,0,0,
9894-83291,Kylie Baker,F,1,BSA-2002,0,CA,143,4,4,19,3,2,0,0,
8294-57783,Virginia Sutherland,M,1,BSF-2007,0,CFNR,142,4,4,18,3,2,0,0,
0372-63371,Michelle Hughes,M,1,BSA-2002-PR,0,CA,142,4,4,19,3,4,0,0,
1309-33611,Paul Hill,M,1,BSCE-2008,0,CEAT,178,4,5,19,3,1,0,0,
5052-63310,Christian Thomson,M,1,BSSTAT-2002,0,CAS,47,2,2,18,3,7,0,0,
4957-33392,Alexandra Clarkson,F,1,BSECO-2005,0,CEM,134,4,4,16,3,2,0,0,
0298-58719,Theresa Ferguson,M,1,BSAE-2006,0,CEAT,182,4,5,19,3,1,0,0,
0383-81170,Jessica Rampling,M,1,BSIE-2008,0,CEAT,164,4,5,16,3,5,0,0,
8160-42572,Nicola Dowd,M,1,DVM-2002,0,CVM,202,4,6,21,3,5,0,0,
9120-23093,Jennifer Nash,M,1,BSEE-2010,0,CEAT,171,4,5,19,3,2,0,0,
1070-07339,Joshua Metcalfe,F,1,BACA-2011-PR,0,CAS,119,4,4,18,3,1,0,0,
4578-41944,Dorothy Burgess,F,1,BSBIO-2002-MCB-CW,0,CAS,144,4,4,19,3,2,0,0,
6638-43055,Oliver Henderson,F,1,BSAM-2002-ORO,0,CAS,139,4,4,16,3,1,0,0,
2970-87681,Julia Langdon,F,1,BSDC-2002-EDCOM,0,CDC,135,4,4,19,3,3,0,0,
0713-54509,Evan Hill,F,1,BSDC-2008,0,CDC,120,4,4,18,3,5,0,0,
6838-15492,Adrian Mathis,F,1,DVM-2002,0,CVM,112,2,4,21,3,5,2,0,
5287-49200,Charles Short,M,1,BSA-2002,0,CA,150,4,4,19,3,3,0,0,
1629-26047,Lucas Abraham,F,1,BSA-2002-PR,0,CA,140,4,4,19,3,4,0,0,
5872-26442,Anna Berry,F,1,BSDC-2002-COMBROAD,0,CDC,121,4,4,18,3,5,0,0,
0589-34352,Amelia Alsop,F,1,BSAECO-2002,0,CEM,124,4,4,18,3,5,0,0,
5450-53622,Jan Welch,F,1,BSA-2002-PR,0,CA,141,4,4,19,3,4,0,0,
5716-69122,Blake Cameron,F,1,DVM-2002,0,CVM,202,4,6,21,3,5,0,0,
1065-29280,Emily Rampling,F,1,DVM-2002,0,CVM,92,2,3,21,3,5,0,0,
3702-09770,Diane North,F,1,BACA-2011-PR,0,CAS,57,2,3,18,3,7,2,0,
8503-88320,Kylie Baker,M,1,BSCE-2008,0,CEAT,157,4,5,20,3,6,0,0,
9659-27838,Madeleine May,M,1,BSDC-2002-SCICOM,0,CDC,136,4,4,19,3,1,0,0,
9770-50579,Evan Clark,F,1,BACA-2002,0,CAS,135,4,4,18,3,1,0,0,
8323-88210,Katherine Morgan,M,1,BSHE-HSP-TH-2002,0,CHE,126,4,4,19,3,6,0,0,
6628-71086,Ruth Taylor,F,1,BACA-2002-TA-PR,0,CAS,111,4,4,18,3,5,0,0,
0153-02866,Oliver Young,M,1,BSCE-2008,0,CEAT,181,4,5,19,3,1,0,0,
3427-76786,Elizabeth Wright,M,1,BSSTAT-2008,0,CAS,89,3,3,18,3,6,5,0,
2090-03615,Emily Bell,M,1,BSA-2002,0,CA,143,4,4,19,3,5,0,0,
8535-10351,Ava Peake,F,1,DVM-2002,0,CVM,202,4,6,21,3,6,0,0,
3441-53479,Edward Ogden,M,1,BSAP-2002,0,CAS,129,4,4,18,3,3,0,0,
7150-95380,Austin Lewis,M,1,BSCHE-2006-GEN,0,CEAT,140,3,5,20,3,6,0,0,
4856-48814,Boris White,M,1,BSAM-2002-ASO,0,CAS,90,3,4,18,3,6,0,0,
9394-08066,John Bell,M,1,DVM-2002,0,CVM,111,2,4,21,3,4,0,0,
0258-13883,Evan Hodges,F,1,BSCHEM-2002,0,CAS,131,4,4,18,3,3,0,0,
1229-76468,Chloe Walsh,M,1,BSFT-2003-PR,0,CA,136,4,4,21,3,5,0,0,
8016-59944,Ava Peake,M,1,BSSTAT-2008,0,CAS,124,4,4,19,3,7,0,0,
2278-47990,Christian Thomson,F,1,BSDC-2002-COMBROAD,0,CDC,120,4,4,18,3,8,0,0,
8721-40295,Karen Hardacre,M,1,BSDC-2002-DEVJOURN,0,CDC,121,4,4,18,3,3,0,0,
4977-68918,David Hunter,M,1,BSA-2002,0,CA,136,4,4,21,3,6,0,0,
8461-66298,Christian Clark,M,1,BSA-2002,0,CA,104,3,4,21,3,2,0,0,
4458-97784,Dorothy Glover,F,1,BSDC-2002-EDCOM,0,CDC,114,4,4,18,3,7,1,0,
2048-55588,Dominic McLean,M,1,BSEE-2010,0,CEAT,174,4,5,19,3,3,0,0,
5496-59550,Lucas Hill,F,1,DVM-2002,0,CVM,151,3,5,21,3,5,0,0,
5223-33367,Deirdre Gibson,M,1,BSA-2002,0,CA,140,4,4,19,3,5,0,0,
9891-67659,Donna Hudson,F,1,BSSTAT-2002,0,CAS,146,4,4,18,3,1,0,0,
1440-63845,Adrian Vance,F,1,DVM-2002,0,CVM,148,3,5,21,3,5,0,0,
2657-27513,Bernadette Hart,M,1,BSCE-2008,0,CEAT,113,3,4,21,3,5,0,0,
0812-72587,Diana McLean,F,1,BSBIO-2002-SYS-CW,0,CAS,134,4,4,19,3,5,0,0,
9709-91489,Owen Coleman,F,1,BSDC-2002-DEVJOURN,0,CDC,133,4,4,19,3,2,0,0,
8998-25824,Julia Howard,F,1,BSA-2011-PR,0,CA,140,4,4,21,3,3,0,0,
1277-65695,Lisa Quinn,M,1,BSCS-2002-SP-PR,0,CAS,123,4,4,17,3,4,0,0,
7935-74917,Dominic Walsh,M,1,DVM-2002,0,CVM,131,3,4,21,3,6,1,0,
6424-54399,Jane Churchill,F,1,BSCS-2002-SP-PR,0,CAS,132,4,4,17,3,3,0,0,
6379-26585,Julian Hughes,M,1,BSEE-2002,0,CEAT,72,2,3,20,3,6,7,0,
2104-55422,Faith Scott,M,1,DVM-2002,0,CVM,202,4,6,21,3,4,0,0,
7408-34420,Kylie Baker,F,1,BSDC-2002-DEVJOURN,0,CDC,136,4,4,19,3,3,0,0,
5602-37388,Jennifer Duncan,F,1,BSDC-2002-EDCOM,0,CDC,120,4,4,18,3,5,0,0,
0742-30468,Theresa Ellison,F,1,BSIE-2008,0,CEAT,171,4,5,16,3,3,0,0,
8211-36522,Christian Lyman,F,1,BSA-2002-PR,0,CA,130,4,4,21,3,6,0,0,
8576-47213,Wendy Manning,M,1,BSCHE-2006-ST,0,CEAT,123,3,4,21,3,6,0,0,
3617-88323,Zoe Morrison,M,1,BSCE-2008,0,CEAT,139,3,5,20,3,6,0,0,
8344-51541,Carol Springer,F,1,BSEE-2002,0,CEAT,70,2,3,20,3,6,10,0,
5919-80544,Amanda Bower,M,1,BSCHE-2006-GEN,0,CEAT,174,4,5,20,3,3,0,0,
9777-01384,Lisa James,F,1,DVM-2002,0,CVM,202,4,6,21,3,6,0,0,
0357-67066,Penelope Black,F,1,BSA-2002,0,CA,146,4,4,19,3,4,0,0,
8864-58815,Donna Mitchell,F,1,BSA-2002-PR,0,CA,114,3,4,21,3,7,0,0,
8536-78660,Oliver Henderson,F,1,DVM-2002,0,CVM,130,3,4,21,3,3,0,0,
9173-19802,Robert Sanderson,F,1,BSHE-FD-PS-PR-2002,0,CHE,124,4,4,21,3,3,0,0,
3813-62822,Diana Martin,M,1,DVM-2002,0,CVM,200,4,6,21,3,5,0,0,
3424-17126,Katherine Taylor,F,1,BSABE-2011,0,CEAT,129,3,4,20,3,6,3,0,
5532-30221,Lauren Davies,F,1,BSN-2002,0,CHE,116,3,4,21,3,4,0,0,
0016-24587,Julian Sanderson,M,1,DVM-2002,0,CVM,169,3,5,21,3,7,0,0,
1336-91185,Ava Peake,F,1,BSHE-HSP-PR-2002,0,CHE,93,3,3,18,3,7,8,0,
7767-35452,Bernadette Cornish,M,1,BSABT-2011,0,CA,137,4,4,19,3,3,0,0,
2851-28662,Adam MacLeod,F,1,BSIE-2008,0,CEAT,179,4,5,16,3,3,0,0,
5340-56909,Luke Howard,M,1,BSBIO-2002-ECO-CW,0,CAS,118,4,4,19,3,3,0,0,
2158-62964,Blake Cameron,M,1,BSAECO-2011,0,CEM,141,4,4,18,3,1,0,0,
2035-43674,Connor Thomson,M,1,BSBIO-2002-MCB-PR,0,CAS,144,4,4,16,3,3,0,0,
8649-94217,Samantha Langdon,M,1,BSHE-ST-TH-2002,0,CHE,105,3,4,21,3,2,0,0,
4726-03316,Cameron Harris,M,1,BSHE-HSP-PR-2002,0,CHE,139,4,4,13,3,1,0,0,
5061-38194,Julian Hughes,M,1,BSFT-2003-PR,0,CA,148,4,4,17,3,1,0,0,
1359-08579,Oliver Ogden,M,1,BSDC-2002-COMBROAD,0,CDC,120,4,4,18,3,6,0,0,
7374-31007,James Clark,M,1,BSAE-2006,0,CEAT,164,4,5,19,3,6,0,0,
5201-14119,Adam Welch,M,1,BSFT-2003,0,CA,97,3,4,20,3,1,0,0,
5861-06796,Connor Thomson,M,1,BSCHE-2006-ST,0,CEAT,114,3,4,21,3,6,0,0,
4754-44676,Donna McDonald,M,1,BSDC-2008,0,CDC,138,4,4,19,3,6,0,0,
7925-48393,Nicola Lawrence,M,1,BSMST-2002-MATH,0,CAS,77,3,3,21,3,4,0,0,
0222-75832,Zoe Manning,F,1,DVM-2002,0,CVM,109,2,4,21,3,5,0,0,
5381-21857,Lauren Thomson,M,1,BACA-2002-SPCM-PR,0,CAS,69,2,3,18,3,7,6,0,
1384-86284,Olivia Peters,M,1,BSA-2002,0,CA,153,4,4,19,3,1,0,0,
0258-31211,Gavin Hart,F,1,BSN-2002,0,CHE,139,4,4,21,3,1,0,0,
1232-20885,Lucas Hill,M,1,BSDC-2008,0,CDC,105,3,4,18,3,7,0,0,
7069-88286,Jake Avery,M,1,BSA-2002,0,CA,153,4,4,19,3,1,0,0,
0587-40720,Samantha Bell,M,1,BSDC-2008,0,CDC,126,4,4,18,3,8,0,0,
2573-36270,Eric Brown,F,1,BSIE-2008,0,CEAT,176,4,5,16,3,2,0,0,
8102-16851,Carolyn Davidson,M,1,BSBIO-2002,0,CAS,103,3,4,19,3,6,0,0,
7320-70671,Jake Howard,F,1,BSMST-2002-PHYS,0,CAS,132,4,4,20,3,6,0,0,
0203-51914,Cameron Harris,F,1,BSFT-2003,0,CA,138,4,4,20,3,2,0,0,
0921-88208,Adam Welch,F,1,BSBIO-2002-CMB-TH,0,CAS,119,4,4,19,3,5,0,0,
7698-67116,Samantha Langdon,M,1,BSAE-2006,0,CEAT,191,4,5,19,3,1,0,0,
6096-51794,Piers Tucker,M,1,BSECO-2005,0,CEM,32,1,2,18,3,5,5,0,
1063-93958,Isaac Powell,M,1,BSCHE-2006-GEN,0,CEAT,162,4,5,20,3,5,0,0,
4747-15189,Ian May,F,1,BSCHEM-2002,0,CAS,137,4,4,18,3,6,0,0,
3293-33472,Chloe Walsh,F,1,BSCS-2008-SP-PR,0,CAS,124,4,4,17,3,7,1,0,
4313-55107,Richard Campbell,F,1,BSAECO-2002,0,CEM,136,4,4,18,3,1,0,0,
1105-49920,Virginia Slater,F,1,BSHE-FD-PS-PR-2002,0,CHE,121,4,4,21,3,6,0,0,
0637-16045,Angela Vance,M,1,BSEE-2010,0,CEAT,131,3,4,20,3,2,0,0,
7009-02556,Harry Berry,F,1,BSCHE-2006-GEN,0,CEAT,186,4,5,16,3,1,0,0,
8913-13823,Gordon Gibson,M,1,BSA-2002-PR,0,CA,138,4,4,21,3,2,0,0,
7941-27914,Kimberly Bower,M,1,BSAE-2006,0,CEAT,182,4,5,19,3,1,0,0,
7662-16150,Amelia James,F,1,BSHE-HSP-PR-2002,0,CHE,126,4,4,16,3,5,0,0,
6076-12349,Joe Mackay,F,1,BSDC-2008,0,CDC,129,4,4,18,3,5,0,0,
8050-85788,Ella Davidson,F,1,BSF-2007,0,CFNR,46,2,2,21,3,8,2,0,
5576-84959,Harry Berry,M,1,BSCHEM-2002,0,CAS,116,3,4,18,3,2,0,0,
1789-60103,Carolyn Wallace,F,1,DVM-2002,0,CVM,206,4,6,21,3,6,0,0,
4074-89749,Rose Ross,M,1,BSCE-2008,0,CEAT,164,4,5,20,3,5,0,0,
6183-79885,Anne Knox,M,1,BSCHE-2006-GEN,0,CEAT,121,3,4,20,3,7,5,0,
9377-56194,Wendy Jones,F,1,DVM-2002,0,CVM,204,4,6,21,3,5,0,0,
4054-10644,James Paterson,F,1,BSCHE-2006-GEN,0,CEAT,156,4,5,20,3,6,2,0,
3776-10568,Kylie Baker,F,1,BSHE-HSP-PR-2002,0,CHE,139,4,4,13,3,1,0,0,
5533-22156,Amelia Alsop,M,1,BSSTAT-2008,0,CAS,112,3,4,19,3,3,0,0,
2619-98875,Nicola Dowd,F,1,BSIE-2008-PR,0,CEAT,150,4,5,16,3,6,3,0,
0631-83521,Dominic Walsh,F,1,BSBIO-2002-WLDL-CW,0,CAS,118,4,4,19,3,6,0,0,
2289-31245,Joseph Mills,F,1,BSIE-2008,0,CEAT,140,3,5,16,3,5,1,0,
3068-42138,Emma Carr,M,1,BSIE-2008,0,CEAT,173,4,5,16,3,2,0,0,
2887-86731,Rose Berry,M,1,BSAECO-2002,0,CEM,81,3,3,18,3,6,4,0,
9512-63958,Sue Hart,M,1,BSEE-2010,0,CEAT,166,4,5,19,3,1,0,0,
6635-58619,Gordon Clarkson,M,1,BSAE-2006,0,CEAT,147,4,5,19,3,7,0,0,
0010-74836,Blake Chapman,M,1,DVM-2002,0,CVM,204,4,6,21,3,5,0,0,
9506-33260,Charles Black,M,1,BSABE-2011,0,CEAT,98,3,4,20,3,5,0,0,
6093-98174,Jane Baker,M,1,BSECO-2005,0,CEM,115,4,4,19,3,5,0,0,
9698-77384,Kimberly Hart,F,2,BSA-2002,0,CA,96,3,3,21,3,1,0,0,
9767-35766,Carolyn Welch,M,1,DVM-2002,0,CVM,142,3,5,21,3,7,1,0,
7097-32163,Carol Newman,M,1,DVM-2002,0,CVM,150,3,5,21,3,6,0,0,
8144-88737,Sonia Carr,F,1,BSAM-2002-ASO,0,CAS,124,4,4,18,3,1,0,0,
6827-44609,Donna Hardacre,F,1,BSIE-2008-PR,0,CEAT,175,4,5,16,3,3,0,0,
9071-87678,Max Mathis,M,1,DVM-2002,0,CVM,211,4,6,21,3,3,0,0,
7189-52361,Evan Hill,M,1,BSEE-2010,0,CEAT,177,4,5,19,3,2,0,0,
9001-28646,Anne Arnold,M,1,BSCE-2008,0,CEAT,150,4,5,20,3,7,2,0,
1688-55324,Connor Mackay,M,1,BSCHE-2006-GEN,0,CEAT,180,4,5,16,3,2,0,0,
2200-70504,Leah Vaughan,F,1,BSCS-2008-SP-PR,0,CAS,138,4,4,17,3,1,0,0,
6756-17781,Kevin Newman,M,1,BSCHE-2006-GEN,0,CEAT,56,2,2,20,3,8,4,0,
1132-34337,Michelle Parr,M,1,BSA-2002-PR,0,CA,152,4,4,19,3,2,0,0,
8650-73200,Julian Hughes,F,1,BSDC-2008,0,CDC,54,2,3,18,3,7,3,0,
4503-28544,Austin Glover,M,1,BSEE-2002,0,CEAT,88,2,3,20,3,6,3,0,
7186-31372,Jane Martin,F,1,BSAE-2006,0,CEAT,178,4,5,19,3,2,0,0,
6711-71316,Justin Duncan,M,1,BSMST-2002-MATH,0,CAS,112,3,4,18,3,2,0,0,
0521-11368,Michelle Bower,F,1,BSHE-2011,0,CHE,113,3,4,21,3,8,0,0,
5341-39686,Rebecca Bailey,F,1,BSEE-2010,0,CEAT,169,4,5,19,3,4,0,0,
7802-64069,Jan Peake,F,1,BSCE-2008,0,CEAT,182,4,5,19,3,1,0,0,
6707-78173,Paul Hill,M,1,BSHE-2011,0,CHE,116,4,4,21,3,3,0,0,
2740-36667,Vanessa King,M,1,BSIE-2008,0,CEAT,141,3,5,16,3,7,0,0,
6083-63794,Elizabeth Vaughan,M,1,BSDC-2008,0,CDC,139,4,4,19,3,2,0,0,
2543-86521,Peter Greene,F,1,BSBIO-2002-MCB-TH,0,CAS,119,4,4,19,3,7,5,0,
2582-94687,Harry Berry,F,1,BSDC-2008,0,CDC,141,4,4,19,3,2,0,0,
0991-94681,Ryan Metcalfe,M,1,BSAECO-2002,0,CEM,99,3,4,18,3,5,0,0,
0639-83431,Brandon Powell,M,1,BSDC-2008,0,CDC,105,3,4,18,3,7,1,0,
4446-41832,Pippa Wright,M,1,DVM-2002,0,CVM,120,3,4,21,3,7,3,0,
8177-76976,Lily Ferguson,M,1,BSN-2002,0,CHE,133,4,4,21,3,2,0,0,
7034-11561,Anne Knox,F,1,BSECO-2005,0,CEM,100,3,4,19,3,6,2,0,
8722-92570,Michelle Kerr,M,1,BSABE-2011,0,CEAT,91,2,3,20,3,8,1,0,
3015-17075,Jessica Wilson,F,1,BSIE-2008-PR,0,CEAT,179,4,5,16,3,2,0,0,
8481-57219,Lauren Bower,M,1,BSCHEM-2002,0,CAS,122,4,4,18,3,6,2,0,
8274-03196,Max Scott,F,1,DVM-2002,0,CVM,211,4,6,21,3,4,0,0,
8144-58234,Sebastian North,M,1,BSCS-2008-SP-PR,0,CAS,139,4,4,17,3,1,0,0,
4201-60216,Blake Scott,M,1,BSA-2002-PR,0,CA,140,4,4,19,3,3,0,0,
1817-47648,Dan Peters,F,1,BSN-2002,0,CHE,138,4,4,21,3,2,0,0,
2555-12529,Max Mathis,F,1,DVM-2002,0,CVM,161,3,5,21,3,3,0,0,
5271-99000,Liam Langdon,F,1,BSEE-2010,0,CEAT,150,4,5,19,3,7,0,0,
5380-79631,Joshua Ogden,M,1,DVM-2002,0,CVM,140,3,5,21,3,7,1,0,
7478-91180,Virginia Ince,M,1,BSA-2002,0,CA,152,4,4,19,3,1,0,0,
2989-70754,Ella Vaughan,M,1,BSEE-2002,0,CEAT,94,3,4,20,3,7,4,0,
3985-89150,Penelope King,M,1,BSA-2002-PR,0,CA,129,4,4,21,3,5,0,0,
7740-73471,Charles Bond,M,1,BSA-2002,0,CA,157,4,4,19,3,1,0,0,
5747-27806,Alexandra Clarkson,F,1,BSCHE-2006-ST,0,CEAT,116,3,4,21,3,8,2,0,
2765-21342,Anne Knox,M,1,BSMATH-2011,0,CAS,123,4,4,16,3,4,0,0,
6297-17802,Kimberly Bower,F,1,BSDC-2008,0,CDC,142,4,4,19,3,2,0,0,
6694-41293,Blake Sanderson,M,1,BSAM-2002-ORO,0,CAS,60,2,3,18,3,7,11,0,
9049-33410,Michael Clark,F,1,BSDC-2008,0,CDC,120,4,4,18,3,4,0,0,
4267-39119,Justin Paige,M,1,BSFT-2003,0,CA,122,4,4,20,3,4,0,0,
7962-02605,Thomas Carr,M,1,BSMATH-2011,0,CAS,123,4,4,16,3,4,0,0,
9713-38239,Neil Coleman,M,1,BSAP-2002,0,CAS,126,4,4,18,3,1,0,0,
8245-05863,Virginia Taylor,M,1,DVM-2002,0,CVM,190,4,6,21,3,7,0,0,
0784-63629,Amanda Gray,F,1,BSECO-2005,0,CEM,131,4,4,16,3,3,0,0,
5883-16176,Pippa Wright,M,1,BSDC-2008,0,CDC,105,3,4,18,3,6,0,0,
9094-09537,Audrey Abraham,M,1,BSCS-2008-SP-PR,0,CAS,95,3,4,17,3,7,5,0,
3612-90008,Diana Martin,F,1,BSAC-2002,0,CA-CAS,172,4,5,19,3,4,0,0,
3871-24618,Carol Newman,M,1,DVM-2002,0,CVM,209,4,6,21,3,2,0,0,
2395-47873,Rachel Randall,F,1,BSDC-2008,0,CDC,102,3,4,18,3,7,2,0,
8818-65851,Dominic Langdon,M,1,BSAE-2006,0,CEAT,182,4,5,19,3,1,0,0,
4266-45271,Isaac Simpson,F,1,BSIE-2008-PR,0,CEAT,182,4,5,16,3,1,0,0,
1104-29255,Dorothy Burgess,M,1,BSCHE-2006-ST,0,CEAT,181,4,5,20,3,4,0,0,
7755-61520,Alison Pullman,M,1,BSAE-2006,0,CEAT,163,4,5,19,3,4,0,0,
4280-96377,Owen Coleman,M,1,BSCE-2008,0,CEAT,181,4,5,19,3,1,0,0,
9333-96547,Nathan Sutherland,M,1,BSEE-2011,0,CEAT,36,1,2,18,3,7,2,0,
8322-05804,Rebecca Bailey,F,1,BSCHE-2006-GEN,0,CEAT,180,4,5,16,3,4,0,0,
6276-29820,Zoe Morrison,M,1,BSF-2007,0,CFNR,49,2,2,21,3,2,0,0,
4738-80935,Stephen Nash,M,1,BSEE-2010,0,CEAT,146,4,5,19,3,2,0,0,
